date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-04 05:56:19,USEmbassyBKK,,0,1,2,"คนและธุรกิจใน #IndoPacific เข้าสู่โลกออนไลน์มากขึ้น บริษัทเทคโนโลยีของไทย-นานาชาติจึงจับตามองการสร้างเศรษฐกิจดิจิทัลของภูมิภาคนี้ @KeithJKrach ปลัดกต.สหรัฐฯ @State_E ดำเนินการประชุม #IndoPacificBizForum ในช่วงหัวข้อดังกล่าว Watch live: https://www.youtube.com/user/USEmbassyBangkok/live",,@KeithJKrach @State_E,#IndoPacific #IndoPacificBizForum,1191232689174503425,https://twitter.com/USEmbassyBKK/status/1191232689174503425
2019-11-04 05:43:37,USEmbassyBKK,,0,0,2,".@GE_Power ประกาศสร้างโรงผลิตไฟฟ้ามูลค่า 390 ล้านUSD ในบังกลาเทศ ซึ่งจะจำหน่ายไฟฟ้าให้กับบ้านเรือน 700,000 หลังภายในปี 2565 และสร้างโรงผลิตไฟฟ้าพลังความร้อนร่วมมูลค่า 1,200 ล้านUSD ที่ไต้หวัน ซึ่งจะสร้างมูลค่าการส่งออกให้US 720 ล้านUSD #IndoPacificBizForum",,@GE_Power,#IndoPacificBizForum,1191229490061430785,https://twitter.com/USEmbassyBKK/status/1191229490061430785
2019-11-04 05:17:15,USEmbassyBKK,,1,0,2,"รัฐมนตรี @SecretaryRoss นำคณะผู้แทนธุรกิจจากบริษัทของสหรัฐฯ เข้าร่วมการประชุม #IndoPacificBizForum เพื่อศึกษารายละเอียดข้อตกลงการค้าต่างๆ หลังจากนั้น จะเดินทางต่อไปยังอินโดนีเซียและเวียดนาม",,@SecretaryRoss,#IndoPacificBizForum,1191222855289061379,https://twitter.com/USEmbassyBKK/status/1191222855289061379
2019-11-04 05:10:19,USEmbassyBKK,,0,7,3,"ผู้แทน US ที่เข้าร่วม #IndoPacificBizForum: @SecretaryRoss, @KeithJKrach ปลัดกต.สหรัฐ @State_E, Kimberly Reed @EximBankUS, Thomas Hardy @USTDA, @dbohigian @opicgov, @USAIDBGlick และ Charles Freeman @USChamber",,@SecretaryRoss @KeithJKrach @State_E @EximBankUS @USTDA @DBohigian @opicgov @USAIDBGlick @USChamber,#IndoPacificBizForum,1191221112421568513,https://twitter.com/USEmbassyBKK/status/1191221112421568513
2019-11-04 04:55:36,USEmbassyBKK,USEmbassyBKK,0,0,3,"การลงทุนแบบ Greenfield Investment คือการลงทุนที่บริษัทก่อตั้งการดำเนินงานใหม่ในประเทศใดประเทศ หนึ่งหรือลงทุนด้านอาคารสถานที่ใหม่ จึงมีผลอย่างมากต่อการสร้างงาน #IndoPacificBizForum",,,#IndoPacificBizForum,1191217408704274433,https://twitter.com/USEmbassyBKK/status/1191217408704274433
2019-11-04 04:54:56,USEmbassyBKK,,0,0,1,"ปี 60-61 การลงทุนแบบ Greenfield Investment ในUS ที่ประกาศลงทุนโดย #IndoPacific เพิ่มขึ้น 7.5% เป็น 439 โครงการ โดยUS ประกาศลงทุนการลงทุนแบบ Greenfield Investment ใน #IndoPacific เพิ่มขึ้นเกือบ 23% เป็น 1,022 โครงการ https://www.usaid.gov/indo-pacific-vision/econ #IndoPacificBizForum",,,#IndoPacific #IndoPacific #IndoPacificBizForum,1191217239510286336,https://twitter.com/USEmbassyBKK/status/1191217239510286336
2019-11-04 04:52:03,USEmbassyBKK,,0,0,3,"“EXIM ตั้งตารอที่จะได้ร่วมงานกับหุ้นส่วนของเราทั่วภูมิภาคอินโด-แปซิฟิก เพื่อเสริมสร้างความเข้มแข็งให้เศรษฐกิจของพวกเขา” - คิมเบอร์ลี่ เอ. รี้ด ประธานกก.บห. ธนาคาร @EximBankUS #IndoPacificBizForum",,@EximBankUS,#IndoPacificBizForum,1191216513392332801,https://twitter.com/USEmbassyBKK/status/1191216513392332801
2019-11-04 04:51:40,USEmbassyBKK,,0,4,3,"“EXIM looks forward to working with our partners across the Indo-Pacific region to strengthen their economies.” - Kimberly A. Reed, President and Chairman of @EximBankUS #IndoPacificBizForum",,@EximBankUS,#IndoPacificBizForum,1191216416776544256,https://twitter.com/USEmbassyBKK/status/1191216416776544256
2019-11-04 04:51:06,USEmbassyBKK,,0,0,1,"#อาเซียน คือจุดหมายปลายทางการลงทุนอันดับหนึ่งของสหรัฐฯ ใน #IndoPacific ปี 2561 การลงทุนสะสมของสหรัฐฯ ในอาเซียนมีมูลค่า 271,000 ล้านดอลลาร์สหรัฐ https://www.usaid.gov/indo-pacific-vision/econ #IndoPacificBizForum",,,#IndoPacific #IndoPacificBizForum,1191216275113988097,https://twitter.com/USEmbassyBKK/status/1191216275113988097
2019-11-04 04:48:59,USEmbassyBKK,,0,0,1,"มูลค่าการส่งออกสินค้าและบริการของ สหรัฐฯ ไปยังภูมิภาค #IndoPacific เพิ่มขึ้น 4.5% ในช่วงปีที่ผ่านมา https://www.usaid.gov/indo-pacific-vision/econ #IndoPacificBizForum",,,#IndoPacific #IndoPacificBizForum,1191215742491869187,https://twitter.com/USEmbassyBKK/status/1191215742491869187
